Vivien Devisme;Pilier gauche;Brive
François Da Ros;Talonneur;Brive
Damien Jourdain;Pilier droit;Brive
Julien Ledevedec;Deuxieme ligne gauche;Brive
Joe Snyman;Deuxieme ligne droite;Brive
Saïd Hiréche;Troisième ligne gauche;Brive
Dominiko Waqaniburotu;Troisième ligne droite;Brive
Petrus Hauman;Troisième ligne centre;Brive
Teddy Iribaren;Demi de mélée;Brive
Thomas Laranjeira;Demi d'ouverture;Brive
Guillaume Namy;Trois quart aile gauche;Brive
Seremaia Burotu;Trois quart centre gauche;Brive
Arnaud Mignardi;Trois quart centre droit;Brive
Benjamin Lapeyre;Trois quart aile droit;Brive
Gaëtan Germain;Arrière;Brive
Guillaume Ribes;Remplacant1;Brive
Damien Lavergne;Remplacant2;Brive
Arnaud Mela;Remplacant3;Brive
Sisaro Koyamaibole;Remplacant4;Brive
Jean-Baptiste Péjoine;Remplacant5;Brive
Romain Cabannes;Remplacant6;Brive
Benito Masilevu;Remplacant7;Brive
Jérôme Schuster;Pilier gauche;Bayonne
Manu Leiataua;Talonneur;Bayonne
Lorenzo Cittadini;Pilier droit;Bayonne
Pieter Jan Van Lill;Deuxieme ligne gauche;Bayonne
Tom Donnelly;Deuxieme ligne droite;Bayonne
Tanerau Latimer;Troisième ligne gauche;Bayonne
Baptiste Chouzenoux;Troisième ligne droite;Bayonne
John Beattie;Troisième ligne centre;Bayonne
Guillaume Rouet;Demi de mélée;Bayonne
Willie Du Plessis;Demi d'ouverture;Bayonne
Julien Jané;Trois quart aile gauche;Bayonne
Thibault Lacroix;Trois quart centre gauche;Bayonne
Gabiriele Lovobalavu;Trois quart centre droit;Bayonne
Martin Bustos-Moyano;Trois quart aile droit;Bayonne
Benjamin Thiéry;Arrière;Bayonne
Simon Labouyrie;Remplacant1;Bayonne
Aretz Iguiniz;Remplacant2;Bayonne
Adam Jaulhac;Remplacant3;Bayonne
Jean-Joseph Marmouyet;Remplacant4;Bayonne
Emmanuel Saubusse;Remplacant5;Bayonne
Raphaël Lagarde;Remplacant6;Bayonne
Romain Martial;Remplacant7;Bayonne
Steven Kitshoff;Pilier gauche;Bordeaux-Begles
Clément Maynadier;Talonneur;Bordeaux-Begles
Vadim Cobilas;Pilier droit;Bordeaux-Begles
Luke Jones;Deuxieme ligne gauche;Bordeaux-Begles
Johan Aliouat;Deuxieme ligne droite;Bordeaux-Begles
Luke Braid;Troisième ligne gauche;Bordeaux-Begles
Hugh Chalmers;Troisième ligne droite;Bordeaux-Begles
Marco Tauleigne;Troisième ligne centre;Bordeaux-Begles
Julien Audy;Demi de mélée;Bordeaux-Begles
Lionel Beauxis;Demi d'ouverture;Bordeaux-Begles
Blair Connor;Trois quart aile gauche;Bordeaux-Begles
Julien Rey;Trois quart centre gauche;Bordeaux-Begles
Jayden Spence;Trois quart centre droit;Bordeaux-Begles
Adam Ashley-Cooper;Trois quart aile droit;Bordeaux-Begles
Jean-Marcellin Buttin;Arrière;Bordeaux-Begles
Benat Auzqui;Remplacant1;Bordeaux-Begles
Jefferson Poirot;Remplacant2;Bordeaux-Begles
Berend Botha;Remplacant3;Bordeaux-Begles
Louis-Benoît Madaule;Remplacant4;Bordeaux-Begles
Yann Lesgourgues;Remplacant5;Bordeaux-Begles
Ian Madigan;Remplacant6;Bordeaux-Begles
Romain Lonca;Remplacant7;Bordeaux-Begles
Antoine Tichit;Pilier gauche;Castres
Jody Jenneker;Talonneur;Castres
Daniel Kotze;Pilier droit;Castres
Thibault Lassalle;Deuxieme ligne gauche;Castres
Rodrigo Capo Ortega;Deuxieme ligne droite;Castres
Yannick Caballero;Troisième ligne gauche;Castres
Alexandre Bias;Troisième ligne droite;Castres
Ma'ama Vaipulu;Troisième ligne centre;Castres
Florian Vialelle;Demi de mélée;Castres
Benjamin Urdapilleta;Demi d'ouverture;Castres
David Smith;Trois quart aile gauche;Castres
Robert Ebersohn;Trois quart centre gauche;Castres
Afusipa Taumoepeau;Trois quart centre droit;Castres
Rémy Grosso;Trois quart aile droit;Castres
Pierre Bérard;Arrière;Castres
Brice Mach;Remplacant1;Castres
Mihaïta Lazar;Remplacant2;Castres
Victor Moreaux;Remplacant3;Castres
Steve Mafi;Remplacant4;Castres
Julien Seron;Remplacant5;Castres
