LyonOU;Brive;Journée 1;Canal+;15;15;2016-08-20 20:45:00;Thomas Charabas
Stade Français;Grenoble;Journée 1;Canal+;54;20;2016-08-20 20:45:00;Laurent Cardona
Stade Rochelais;Clermont;Journée 1;Canal+;30;30;2016-08-20 20:45:00;Adrien Descottes
Castres;Pau;Journée 1;Canal+;28;11;2016-08-20 20:45:00;Sebastien Minery
Bordeaux-Begles;Racing 92;Journée 1;Canal+;15;9;2016-08-20 20:45:00;Pascal Gauzere
Toulouse;Montpellier;Journée 1;Canal+;20;12;2016-08-20 20:45:00;Mathieu Raynal
Bayonne;Toulon;Journée 1;Canal+;28;23;2016-08-21 18:15:00;Salem Attalah
Pau;Toulon;Journée 2;Canal+Sport;18;22;2016-08-27 14:45:00;Mathieu Raynal
Bayonne;Castres;Journée 2;Rugby+;12;12;2016-08-27 18:30:00;Maxime Chalon
Grenoble;Stade Rochelais;Journée 2;Rugby+;19;22;2016-08-27 18:30:00;Tual Trainini
Brive;Stade Français;Journée 2;Rugby+;28;20;2016-08-27 18:30:00;Cedric Marchat
Racing 92;LyonOU;Journée 2;Rugby+;29;16;2016-08-27 18:30:00;Pierre Brousset
Toulouse;Bordeaux-Begles;Journée 2;Canal+Sport;22;17;2016-08-27 20:45:00;Alexandre Ruiz
Montpellier;Clermont;Journée 2;Canal+;22;26;2016-08-28 16:15:00;Pascal Gauzere
Stade Français;Clermont;Journée 3;Canal+Sport;30;30;2016-09-03 14:45:00;Mathieu Raynal
LyonOU;Grenoble;Journée 3;Rugby+;32;13;2016-09-03 18:30:00;Cedric Marchat
Castres;Stade Rochelais;Journée 3;Rugby+;18;26;2016-09-03 18:30:00;Pascal Gauzere
Pau;Bayonne;Journée 3;Rugby+;25;9;2016-09-03 18:30:00;Laurent Cardona
Toulon;Brive;Journée 3;Canal+Sport;21;25;2016-09-03 20:45:00;Alexandre Ruiz
Bordeaux-Begles;Montpellier;Journée 3;Canal+;15;32;2016-09-04 16:15:00;Jerome Garces
Racing 92;Toulouse;Journée 3;Canal+;28;14;2016-09-04 21:00:00;Salem Attalah
Stade Français;Castres;Journée 4;Canal+Sport;29;25;2016-09-10 14:45:00;Thomas Charabas
Montpellier;Pau;Journée 4;Rugby+;41;13;2016-09-10 18:30:00;Pierre Brousset
Bordeaux-Begles;Bayonne;Journée 4;Rugby+;40;20;2016-09-10 18:30:00;Adrien Descottes
Stade Rochelais;LyonOU;Journée 4;Rugby+;43;18;2016-09-10 18:30:00;Maxime Chalon
Clermont;Racing 92;Journée 4;Canal+Sport;47;10;2016-09-10 20:45:00;Romain Poite
Grenoble;Brive;Journée 4;Canal+Sport;36;23;2016-09-11 12:30:00;Sebastien Minery
Toulouse;Toulon;Journée 4;Canal+;15;32;2016-09-11 16:15:00;Jerome Garces
LyonOU;Toulouse;Journée 5;Canal+Sport;25;20;2016-09-17 14:45:00;Tual Trainini
Brive;Stade Rochelais;Journée 5;Rugby+;29;28;2016-09-17 18:30:00;Mathieu Raynal
Pau;Stade Français;Journée 5;Rugby+;23;6;2016-09-17 18:30:00;Romain Poite
Bayonne;Montpellier;Journée 5;Rugby+;9;21;2016-09-17 18:30:00;Cedric Marchat
Clermont;Bordeaux-Begles;Journée 5;Canal+Sport;40;3;2016-09-17 20:45:00;Salem Attalah
Castres;Grenoble;Journée 5;Canal+Sport;46;9;2016-09-18 12:30:00;Adrien Descottes
Racing 92;Toulon;Journée 5;Canal+;41;30;2016-09-18 16:15:00;Maxime Chalon
Castres;Racing 92;Journée 6;Canal+Sport;31;23;2016-09-24 14:45:00;Jerome Garces
Grenoble;Pau;Journée 6;Rugby+;38;39;2016-09-24 18:30:00;Thomas Charabas
Stade Rochelais;Bayonne;Journée 6;Rugby+;34;17;2016-09-24 18:30:00;Pierre Brousset
Bordeaux-Begles;LyonOU;Journée 6;Rugby+;32;10;2016-09-24 18:30:00;Sebastien Minery
Toulouse;Stade Français;Journée 6;Canal+Sport;23;18;2016-09-24 20:45:00;Alexandre Ruiz
